Time [s],Packet ID,MOSI,MISO
1.828613640000000,0,0xAE,0x00
1.828668500000000,0,0x02,0x00
1.828711540000000,0,0x10,0x00
1.828753260000000,0,0x40,0x00
1.828794320000000,0,0x81,0x00
1.828834820000000,0,0xA0,0x00
1.828875260000000,0,0xC0,0x00
1.828915980000000,0,0xA6,0x00
1.828956680000000,0,0xA8,0x00
1.828997340000000,0,0x3F,0x00
1.829037700000000,0,0xD3,0x00
1.829078200000000,0,0x00,0x00
1.829118980000000,0,0xD5,0x00
1.829159340000000,0,0x80,0x00
1.829199880000000,0,0xD9,0x00
1.829243300000000,0,0xF1,0x00
1.829284080000000,0,0xDA,0x00
1.829324880000000,0,0x12,0x00
1.829365680000000,0,0xDB,0x00
1.829406060000000,0,0x40,0x00
1.829446620000000,0,0x20,0x00
1.829487040000000,0,0x02,0x00
1.829527580000000,0,0xA4,0x00
1.829567820000000,0,0xA6,0x00
1.829608380000000,0,0xAF,0x00
1.830251520000000,0,0xB0,0x00
1.830299480000000,0,0x02,0x00
1.830340780000000,0,0x10,0x00
1.830404080000000,0,0xFF,0xFF
1.830410480000000,0,0xDF,0xFF
1.830416880000000,0,0xAF,0xFF
1.830423280000000,0,0x77,0xFF
1.830429680000000,0,0xFB,0xFF
1.830436080000000,0,0xFD,0xFF
1.830442480000000,0,0xFF,0xFF
1.830448880000000,0,0xFF,0xFF
1.830455280000000,0,0xFF,0xFF
1.830461680000000,0,0xFF,0xFF
1.830468080000000,0,0xFF,0xFF
1.830474480000000,0,0xFF,0xFF
1.830480880000000,0,0xFF,0xFF
1.830487280000000,0,0xF7,0xFF
1.830493680000000,0,0x03,0xFF
1.830500080000000,0,0xFF,0xFF
1.830506480000000,0,0xFF,0xFF
1.830512880000000,0,0xFF,0xFF
1.830519280000000,0,0xFF,0xFF
1.830525680000000,0,0xFF,0xFF
1.830532080000000,0,0xFF,0xFF
1.830538480000000,0,0xFF,0xFF
1.830544880000000,0,0xFF,0xFF
1.830551280000000,0,0xFF,0xFF
1.830557680000000,0,0xFF,0xFF
1.830564080000000,0,0xFD,0xFF
1.830570480000000,0,0xFB,0xFF
1.830576880000000,0,0x77,0xFF
1.830583280000000,0,0xAF,0xFF
1.830589680000000,0,0xDF,0xFF
1.830596080000000,0,0x00,0xFF
1.830602480000000,0,0x00,0xFF
1.830608880000000,0,0x00,0xFF
1.830615280000000,0,0x00,0xFF
1.830621680000000,0,0x00,0xFF
1.830628080000000,0,0xE0,0xFF
1.830634480000000,0,0x9C,0xFF
1.830640880000000,0,0xF0,0xFF
1.830647280000000,0,0x80,0xFF
1.830653680000000,0,0x00,0xFF
1.830660080000000,0,0x00,0xFF
1.830666480000000,0,0xC0,0xFF
1.830672880000000,0,0x20,0xFF
1.830679280000000,0,0x24,0xFF
1.830685680000000,0,0xFC,0xFF
1.830692080000000,0,0x00,0xFF
1.830698480000000,0,0xE0,0xFF
1.830704880000000,0,0x20,0xFF
1.830711280000000,0,0xE0,0xFF
1.830717680000000,0,0x20,0xFF
1.830724080000000,0,0xC0,0xFF
1.830730480000000,0,0x00,0xFF
1.830736880000000,0,0x00,0xFF
1.830743280000000,0,0x20,0xFF
1.830749680000000,0,0xE4,0xFF
1.830756080000000,0,0x00,0xFF
1.830762460000000,0,0x00,0xFF
1.830768860000000,0,0x00,0xFF
1.830775260000000,0,0x20,0xFF
1.830781660000000,0,0xE0,0xFF
1.830788060000000,0,0x20,0xFF
1.830794460000000,0,0x20,0xFF
1.830800860000000,0,0xC0,0xFF
1.830807260000000,0,0x00,0xFF
1.830813660000000,0,0x00,0xFF
1.830820060000000,0,0x00,0xFF
1.830826460000000,0,0x00,0xFF
1.830832860000000,0,0x00,0xFF
1.830839260000000,0,0x00,0xFF
1.830845660000000,0,0x00,0xFF
1.830852060000000,0,0x00,0xFF
1.830858460000000,0,0x00,0xFF
1.830864860000000,0,0x00,0xFF
1.830871260000000,0,0x00,0xFF
1.830877660000000,0,0x00,0xFF
1.830884060000000,0,0x00,0xFF
1.830890460000000,0,0x00,0xFF
1.830896860000000,0,0x00,0xFF
1.830903260000000,0,0x00,0xFF
1.830909660000000,0,0x00,0xFF
1.830916060000000,0,0x00,0xFF
1.830922460000000,0,0x00,0xFF
1.830928860000000,0,0x00,0xFF
1.830935260000000,0,0x00,0xFF
1.830941660000000,0,0x00,0xFF
1.830948060000000,0,0x00,0xFF
1.830954460000000,0,0x00,0xFF
1.830960860000000,0,0x00,0xFF
1.830967260000000,0,0x00,0xFF
1.830973660000000,0,0x00,0xFF
1.830980060000000,0,0x00,0xFF
1.830986460000000,0,0x00,0xFF
1.830992860000000,0,0x00,0xFF
1.830999260000000,0,0x00,0xFF
1.831005660000000,0,0x00,0xFF
1.831012060000000,0,0x00,0xFF
1.831018460000000,0,0x00,0xFF
1.831024860000000,0,0x00,0xFF
1.831031260000000,0,0x00,0xFF
1.831037660000000,0,0x00,0xFF
1.831044060000000,0,0x00,0xFF
1.831050460000000,0,0x00,0xFF
1.831056860000000,0,0x00,0xFF
1.831063260000000,0,0x00,0xFF
1.831069660000000,0,0x00,0xFF
1.831076060000000,0,0x00,0xFF
1.831082460000000,0,0x00,0xFF
1.831088860000000,0,0x00,0xFF
1.831095260000000,0,0x00,0xFF
1.831101660000000,0,0x00,0xFF
1.831108060000000,0,0x00,0xFF
1.831114460000000,0,0x00,0xFF
1.831120860000000,0,0x00,0xFF
1.831127260000000,0,0x00,0xFF
1.831133660000000,0,0xF8,0xFF
1.831140060000000,0,0x08,0xFF
1.831146460000000,0,0x04,0xFF
1.831152860000000,0,0xF4,0xFF
1.831159260000000,0,0xF4,0xFF
1.831165660000000,0,0x04,0xFF
1.831172060000000,0,0xF4,0xFF
1.831178460000000,0,0xF4,0xFF
1.831184860000000,0,0x04,0xFF
1.831191260000000,0,0xF4,0xFF
1.831197660000000,0,0xF4,0xFF
1.831204060000000,0,0x04,0xFF
1.831210460000000,0,0xFC,0xFF
1.831216860000000,0,0x00,0xFF
1.831296560000000,0,0xB1,0x00
1.831340940000000,0,0x02,0x00
1.831381940000000,0,0x10,0x00
1.831432460000000,0,0x0F,0xFF
1.831438860000000,0,0x0F,0xFF
1.831445260000000,0,0x0F,0xFF
1.831451660000000,0,0x0F,0xFF
1.831458060000000,0,0x0E,0xFF
1.831464460000000,0,0x0D,0xFF
1.831470860000000,0,0x0F,0xFF
1.831477260000000,0,0x0F,0xFF
1.831483660000000,0,0x0F,0xFF
1.831490060000000,0,0x0F,0xFF
1.831496460000000,0,0x0F,0xFF
1.831502860000000,0,0x0F,0xFF
1.831509260000000,0,0x0F,0xFF
1.831515660000000,0,0x0D,0xFF
1.831522060000000,0,0x0C,0xFF
1.831528460000000,0,0x0D,0xFF
1.831534860000000,0,0x0F,0xFF
1.831541260000000,0,0x0F,0xFF
1.831547660000000,0,0x0F,0xFF
1.831554060000000,0,0x0F,0xFF
1.831560460000000,0,0x0F,0xFF
1.831566860000000,0,0x0F,0xFF
1.831573260000000,0,0x0F,0xFF
1.831579660000000,0,0x0F,0xFF
1.831586060000000,0,0x0F,0xFF
1.831592460000000,0,0x0D,0xFF
1.831598860000000,0,0x0E,0xFF
1.831605260000000,0,0x0F,0xFF
1.831611660000000,0,0x0F,0xFF
1.831618060000000,0,0x0F,0xFF
1.831624460000000,0,0x00,0xFF
1.831630860000000,0,0x00,0xFF
1.831637260000000,0,0x00,0xFF
1.831643660000000,0,0x00,0xFF
1.831650060000000,0,0x02,0xFF
1.831656460000000,0,0x03,0xFF
1.831662860000000,0,0x00,0xFF
1.831669260000000,0,0x00,0xFF
1.831675660000000,0,0x03,0xFF
1.831682060000000,0,0x02,0xFF
1.831688460000000,0,0x00,0xFF
1.831694860000000,0,0x01,0xFF
1.831701260000000,0,0x02,0xFF
1.831707660000000,0,0x02,0xFF
1.831714040000000,0,0x03,0xFF
1.831720440000000,0,0x02,0xFF
1.831726840000000,0,0x03,0xFF
1.831733240000000,0,0x00,0xFF
1.831739640000000,0,0x03,0xFF
1.831746040000000,0,0x00,0xFF
1.831752440000000,0,0x03,0xFF
1.831758840000000,0,0x00,0xFF
1.831765240000000,0,0x00,0xFF
1.831771640000000,0,0x02,0xFF
1.831778040000000,0,0x03,0xFF
1.831784440000000,0,0x02,0xFF
1.831790840000000,0,0x00,0xFF
1.831797240000000,0,0x00,0xFF
1.831803640000000,0,0x02,0xFF
1.831810040000000,0,0x03,0xFF
1.831816440000000,0,0x02,0xFF
1.831822840000000,0,0x00,0xFF
1.831829240000000,0,0x03,0xFF
1.831835640000000,0,0x02,0xFF
1.831842040000000,0,0x00,0xFF
1.831848440000000,0,0x00,0xFF
1.831854840000000,0,0x00,0xFF
1.831861240000000,0,0x00,0xFF
1.831867640000000,0,0x00,0xFF
1.831874040000000,0,0x00,0xFF
1.831880440000000,0,0x00,0xFF
1.831886840000000,0,0x00,0xFF
1.831893240000000,0,0x00,0xFF
1.831899640000000,0,0x00,0xFF
1.831906040000000,0,0x00,0xFF
1.831912440000000,0,0x00,0xFF
1.831918840000000,0,0x00,0xFF
1.831925240000000,0,0x00,0xFF
1.831931640000000,0,0x00,0xFF
1.831938040000000,0,0x00,0xFF
1.831944440000000,0,0x00,0xFF
1.831950840000000,0,0x00,0xFF
1.831957240000000,0,0x00,0xFF
1.831963640000000,0,0x00,0xFF
1.831970040000000,0,0x00,0xFF
1.831976440000000,0,0x00,0xFF
1.831982840000000,0,0x00,0xFF
1.831989240000000,0,0x00,0xFF
1.831995640000000,0,0x00,0xFF
1.832002040000000,0,0x00,0xFF
1.832008440000000,0,0x00,0xFF
1.832014840000000,0,0x00,0xFF
1.832021240000000,0,0x00,0xFF
1.832027640000000,0,0x00,0xFF
1.832034040000000,0,0x00,0xFF
1.832040440000000,0,0x00,0xFF
